2025-07-15 16:42:31,805 [INFO] Connecting to 149.154.167.91:443/TcpFull...
2025-07-15 16:42:37,897 [INFO] Connection to 149.154.167.91:443/TcpFull complete!
2025-07-15 16:42:47,493 [INFO] Scraping channel: https://t.me/lobelia4cosmetics
2025-07-15 16:42:57,513 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:00,840 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:02,443 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:03,235 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:08,931 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:10,510 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:25,141 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:30,868 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:31,529 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:37,198 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:38,676 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:39,688 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:44,520 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:48,907 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:50,936 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:53,998 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:58,007 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:58,251 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:58,494 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:58,808 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:59,164 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:59,396 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:43:59,789 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:00,567 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:01,151 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:01,410 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:04,399 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:05,802 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:08,615 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:10,763 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:13,259 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:14,056 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:14,884 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:15,701 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:21,158 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:23,497 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:24,806 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:25,391 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:27,391 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:28,267 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 16:44:28,820 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
